stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,intersection_code,stop_place,reference_place,stop_name_short
10001,Cabrillo National Monument,32.6744579268,-117.240425732,10001,0,,1,M-Special_Loc,cabmon,,Cabrillo Natl Monument
10003,Pearl St & Draper Av,32.8395782888,-117.276186771,10003,0,,1,N-E/B,,,Pearl&Draper
10004,Pearl St & Fay Av,32.8401284841,-117.273809897,10004,0,,1,N-E/B,,,Pearl&Fay
10006,Torrey Pines Rd & Exchange Pl,32.8458466995,-117.268673217,10006,0,,1,N-N/B,,,Try Pines&Exchange
10007,Torrey Pines Rd & Hillside Dr,32.8493117821,-117.261751578,10007,0,,0,N-N/B,,,Try Pines&Hillside
10011,Garnet Av & Everts St,32.7981009271,-117.24825013,10011,0,,1,N-E/B,,,Garnet&Everts
10012,Grand Av & Fanuel St,32.7965290383,-117.245833937,10012,0,,1,N-E/B,,,Grand&Fanuel
10013,Garnet Av & Haines St,32.7992939798,-117.242773583,10013,0,,1,N-E/B,,,Garnet&Haines
10015,Garnet Av & Ingraham St,32.7996501715,-117.241202492,10015,0,,1,N-E/B,,,Garnet&Ingraham
10016,Garnet Av & Jewell St,32.8001235868,-117.239063191,10016,0,,1,N-E/B,,,Garnet&Jewell
10020,Voltaire St & Mendocino St,32.7450667071,-117.235748986,10020,0,,1,N-E/B,,,Voltaire&Mendocino
10023,Garnet Av & Lamont St,32.8008771641,-117.23556667,10023,0,,1,N-E/B,garlam,,Garnet&Lamont
10024,Voltaire St & San Clemente St,32.7428690539,-117.233535634,10024,0,,1,N-E/B,,,Voltaire&San Clemente
10025,Garnet Av & Noyes St,32.8017129051,-117.231748819,10025,0,,1,N-E/B,,,Garnet&Noyes
10026,Chatsworth Bl & Tennyson St,32.7381473287,-117.229704018,10026,0,,1,N-N/B,,,Chatsworth&Tennyson
10027,Voltaire St & Poinsettia Dr,32.7402559524,-117.229294925,10027,0,,1,N-E/B,,,Voltaire&Poinsettia
10029,West Point Loma Bl & Adrian St,32.7526611456,-117.226733143,10029,0,,1,N-E/B,,,WPt Loma&Adrian
