stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,intersection_code,stop_place,reference_place,stop_name_short,stop_url
10001,Cabrillo National Monument,32.67445793,-117.2404257,10001,0,,1,M-Special_Loc,cabmon,,Cabrillo Natl Monument,
10003,Pearl St & Draper Av,32.83957829,-117.2761868,10003,0,,1,N-E/B,,,Pearl&Draper,
10004,Pearl St & Fay Av,32.84012848,-117.2738099,10004,0,,1,N-E/B,,,Pearl&Fay,
10006,Torrey Pines Rd & Exchange Pl,32.8458467,-117.2686732,10006,0,,1,N-N/B,,,Try Pines&Exchange,
10007,Torrey Pines Rd & Princess St,32.8488256,-117.2625854,10007,0,,0,N-E/B,,,Try Pines&Princess,
10011,Garnet Av & Everts St,32.79810093,-117.2482501,10011,0,,1,N-E/B,,,Garnet&Everts,
10012,Grand Av & Fanuel St,32.79652904,-117.2458339,10012,0,,1,N-E/B,,,Grand&Fanuel,
10013,Garnet Av & Haines St,32.79929398,-117.2427736,10013,0,,1,N-E/B,,,Garnet&Haines,
10015,Garnet Av & Ingraham St,32.79965017,-117.2412025,10015,0,,1,N-E/B,inggar,,Garnet&Ingraham,
10016,Garnet Av & Jewell St,32.80012359,-117.2390632,10016,0,,1,N-E/B,,,Garnet&Jewell,
10020,Voltaire St & Mendocino St,32.74506671,-117.235749,10020,0,,1,N-E/B,,,Voltaire&Mendocino,
10023,Garnet Av & Lamont St,32.80087716,-117.2355667,10023,0,,1,N-E/B,garlam,,Garnet&Lamont,
10024,Voltaire St & San Clemente St,32.74286905,-117.2335356,10024,0,,1,N-E/B,,,Voltaire&San Clemente,
10025,Garnet Av & Noyes St,32.8017129,-117.2317488,10025,0,,1,N-E/B,,,Garnet&Noyes,
10026,Chatsworth Bl & Tennyson St,32.73814733,-117.229704,10026,0,,1,N-N/B,,,Chatsworth&Tennyson,
10027,Voltaire St & Poinsettia Dr,32.74025595,-117.2292949,10027,0,,1,N-E/B,volpoi,,Voltaire&Poinsettia,
10029,West Point Loma Bl & Adrian St,32.75266115,-117.2267331,10029,0,,1,N-E/B,,,WPt Loma&Adrian,
10031,Nimitz Bl & Rosecrans St,32.72894288,-117.2265353,10031,0,,0,M-Street-S/B,nimros,,Nimitz&Rosecrans,
10032,Grand Av & Culver St,32.80091313,-117.2258494,10032,0,,1,N-E/B,,,Grand&Culver,
10033,West Point Loma Bl & Loma Riviera Dr,32.75340225,-117.2240774,10033,0,,1,M-Street-E/B,,,WPt Loma&Loma Riviera,
10034,Nobel Dr & Lebon Dr,32.86829317,-117.2251832,10034,0,,1,N-E/B,nobleb,,Nobel&Lebon,
10036,Garnet Av & Bond St,32.805504,-117.2212138,10036,0,,1,N-E/B,,,Garnet&Bond,
10038,Sports Arena Bl & Midway Dr,32.75567407,-117.2210938,10038,0,,1,M-Street-S/B,,,Sports Arena&Midway,
10040,Midway Dr & Duke St,32.75392997,-117.2181407,10040,0,,1,N-S/B,,,Midway&Duke,
10043,Midway Dr & Kemper St,32.75243625,-117.2158474,10043,0,,1,N-S/B,,,Midway&Kemper,
10044,Grand Av & Mission Bay Dr,32.8022735,-117.2178391,10044,0,,1,N-E/B,,,Grand&Mission Bay,
10045,Balboa Av & Moraga Av,32.80774389,-117.2106967,10045,0,,2,M-Street-E/B,,,Balboa&Moraga,
10048,Morena Bl & Frankfort St,32.77468641,-117.206214,10048,0,,1,N-S/B,,,Morena&Frankfort,
10049,Governor Dr & Radcliffe Dr,32.85434508,-117.2061059,10049,0,,1,N-E/B,,,Governor&Radcliffe,
10050,Morena Bl & Knoxville St,32.77332666,-117.2039837,10050,0,,1,N-S/B,,,Morena&Knoxville,
10051,Clairemont Dr & Merrimac Av,32.83307178,-117.2028667,10051,0,,1,M-Street-E/B,,,Clairemont&Merrimac,
10062,Linda Vista Rd & Colusa St,32.76890946,-117.1911378,10062,0,,1,N-E/B,,,L Vsta&Colusa,
10064,Taylor St & I-8 East (Ramp),32.75925323,-117.1905044,10064,0,,2,N-E/B,,,Taylor&I-8 E(Ramp),
10073,Clairemont Mesa Bl & Longford St,32.83432122,-117.1828549,10073,0,,1,N-E/B,,,Cmnt Mesa&Longford,
10074,Miramar Rd & Miramar Mall,32.8768838,-117.1829903,10074,0,,1,N-E/B,mirmal,,Miramar&Miramar Mall,
10075,N Harbor Dr & Laurel St (Coast Guard),32.72778181,-117.1822865,10075,0,,1,M-Street-E/B,,,N Harbor&Laurel (Coast Guard),
10076,Lewis St & Stephens St,32.75171067,-117.1786106,10076,0,,0,N-E/B,lewste,,Lewis&Stephens,
10077,Clairemont Mesa Bl & Limerick Av,32.83427737,-117.1791919,10077,0,,1,N-E/B,,,Cmnt Mesa&Limerick,
10080,Lewis St & Ingalls St,32.7517283,-117.1751663,10080,0,,0,N-E/B,,,Lewis&Ingalls,
10085,Miramar Rd & Milch Rd,32.87793669,-117.1686566,10085,0,,1,N-E/B,,,Miramar&Milch,
10086,Broadway & State St,32.7155689,-117.1666847,10086,0,,1,N-E/B,amplza,,Brdwy&State,
10088,Washington St & Albatross St,32.74977421,-117.166312,10088,0,,1,N-E/B,,,Wshngtn&Albatross,
10090,Broadway & Front St,32.71559826,-117.1649521,10090,0,,0,N-E/B,brofro,,Brdwy&Front,
10091,Clairemont Mesa Bl & Shawline St (Kaiser),32.83281806,-117.1629573,10091,0,,1,N-W/B,clasha,,Cmnt Mesa&Shawline (Kaiser),
10092,University Av & 3rd Av,32.74819693,-117.1629261,10092,0,,1,N-E/B,,,Univ&3rd,
10093,Genesee Av & Richland St,32.79116236,-117.1632153,10093,0,,1,N-E/B,,,Gnsee&Richland,
10094,Broadway & 3rd Av,32.71561383,-117.1621074,10094,0,,0,N-E/B,3rdbro,,Brdwy&3rd,
10095,Miramar Rd & Distribution Av,32.87896273,-117.1626088,10095,0,,1,N-E/B,,,Miramar&Distribution,
10097,Broadway & 5th Av,32.71566019,-117.160297,10097,0,,0,N-E/B,5thbro,,Brdwy&5th,
10098,University Av & 5th Av,32.74820876,-117.1605812,10098,0,,1,N-E/B,5thuni,,Univ&5th,
10099,Broadway & 6th Av,32.71566351,-117.1594745,10099,0,,0,N-E/B,bro6th,,Brdwy&6th,
10100,Camino De La Reina & Camino Del Arroyo,32.76674662,-117.1584631,10100,0,,1,N-E/B,,,Cmo De La Reina&Cmo Del Arroyo,
10105,Market St & 10th Av,32.71143588,-117.1557961,10105,0,,0,N-E/B,,,Mrkt&10th,
10106,University Av & 10th Av,32.74831789,-117.155463,10106,0,,1,N-E/B,,,Univ&10th,
10107,Miramar Rd & Carroll Rd,32.88177728,-117.1562503,10107,0,,1,N-E/B,,,Miramar&Carroll,
10108,Market St & Park Bl,32.71146838,-117.1539889,10108,0,marpar,1,N-E/B,marpar,,Mrkt&Park,
10109,Broadway & Park Bl,32.71570092,-117.1540128,10109,0,citcol,1,N-E/B,citcol,,Brdwy&Park,
10110,Vista Hill Av & Meadowlark Dr,32.79485118,-117.1545878,10110,0,,1,N-E/B,,,Vista Hill&Meadowlark,
10111,University Av & Vermont St,32.74834756,-117.1536647,10111,0,,1,N-E/B,,,Univ&Vermont,
10114,University Av & Richmond St,32.74836182,-117.1513394,10114,0,,1,N-E/B,,,Univ&Richmond,
10115,Imperial Av & 16th St,32.70621434,-117.1497024,10115,0,,1,N-E/B,imp16,,Imperial&16th,
10116,Market St & 16th St,32.71142899,-117.1496028,10116,0,,1,N-E/B,16-Mar,,Mrkt&16th,
10117,Logan Av & Sigsbee St,32.7038153,-117.1477599,10117,0,,1,N-E/B,,,Logan&Sigsbee,
10118,Market St & 19th St,32.7114408,-117.1468492,10118,0,,1,N-E/B,,,Mrkt&19th,
10119,Broadway & 20th St,32.71572127,-117.1459499,10119,0,,1,N-E/B,,,Brdwy&20th,
10122,Logan Av & Cesar E Chavez Pkwy,32.70154139,-117.1444795,10122,0,,1,N-E/B,logces,,Logan&Cesar E Chavez,
10123,Imperial Av & 22nd St,32.70621679,-117.1440751,10123,0,,1,N-E/B,,,Imperial&22nd,
10124,Miramar Rd & Dowdy Dr,32.88803742,-117.1454507,10124,0,,1,F-E/B,,,Miramar&Dowdy,
10127,Imperial Av & 24th St,32.70622508,-117.1425505,10127,0,,1,N-E/B,,,Imperial&24th,
10128,Clairemont Mesa Bl & 8303,32.83266088,-117.1461407,10128,0,,1,M-Street-E/B,,,Cmnt Mesa&8303,
10129,El Cajon Bl & Alabama St,32.75513971,-117.1426362,10129,0,,1,N-E/B,,,El Cjn&Alabama,
10130,University Av & Alabama St,32.74837212,-117.1427401,10130,0,,1,M-Street-E/B,,,Univ&Alabama,
10132,Miramar Rd & Cabot Dr,32.88957656,-117.1427951,10132,0,,1,N-E/B,,,Miramar&Cabot,
10133,Market St & 25th St,32.71151504,-117.1403966,10133,0,,1,N-E/B,,,Mrkt&25th,
10134,Broadway & 25th St,32.71575334,-117.1407646,10134,0,,1,N-E/B,,,Brdwy&25th,
10136,University Av & Louisiana St,32.74837408,-117.1401869,10136,0,,1,N-E/B,,,Univ&Louisiana,
10137,Imperial Av & 26th St,32.70630307,-117.1382212,10137,0,,1,N-E/B,,,Imperial&26th,
10138,C St & 26th St,32.71680461,-117.1382912,10138,0,,1,N-E/B,,,C&26th,
10139,El Cajon Bl & Arizona St,32.7551642,-117.1377184,10139,0,,1,N-E/B,,,El Cjn&Arizona,
10140,Adams Av & Arizona St,32.76280518,-117.1377011,10140,0,,1,N-E/B,,,Adams&Arizona,
10142,Mira Mesa Bl & Reagan Rd (E),32.9126689,-117.1390704,10142,0,,1,N-E/B,,,Mra Msa&Reagan (E),
10143,Main St & 27th St,32.6927249,-117.1360041,10143,0,,2,N-E/B,,,Main&27th,
10145,Ocean View Bl & Sampson St,32.70214509,-117.1354747,10145,0,,1,N-S/B,,,Ocn Vw&Sampson,
10147,Imperial Av & Hensley St,32.70632038,-117.1346649,10147,0,,1,N-E/B,,,Imperial&Hensley,
10148,C St & 28th St,32.71683051,-117.1343054,10148,0,,1,N-E/B,,,C&28th,
10149,Mira Mesa Bl & Westonhill Dr,32.91274479,-117.1357736,10149,0,,1,N-E/B,,,Mra Msa&Westonhill,
10150,El Cajon Bl & Utah St,32.75517721,-117.1328396,10150,0,,1,N-E/B,,,El Cjn&Utah,
10151,University Av & Utah St,32.74836023,-117.1329339,10151,0,,1,N-E/B,,,Univ&Utah,
