stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,intersection_code,reference_place,stop_name_short,stop_place
11tbro,,11th Ave & Broadway,,32.71626794,-117.15464934,,,1,,0,,,11tbro,
12tS,,12th & Imperial Station,,32.70600195,-117.15337790,,,1,,0,,,12tS,
imtS,,12th & Imperial Station Bayside,,32.70522905,-117.15431792,,,1,,0,,,imtS,
imp12,,12th & Imperial Transit Center,,32.70568488,-117.15287499,,,1,,0,,,imp12,
24tS,,24th Street Station,,32.66185407,-117.10801701,,,1,,0,,,24tS,
24tro,,24th Street Transit Center,,32.66184386,-117.10798312,,,1,,0,,,24tro,
25tS,,25th & Commercial St Station,,32.70530703,-117.14019998,,,1,,0,,,25tS,
32nS,,32nd & Commercial St Station,,32.70591999,-117.12456010,,,1,,0,,,32nS,
47tS,,47th Street Station,,32.70845410,-117.09491415,,,1,,0,,,47tS,
5thS,,5th Avenue Station,,32.71676205,-117.15970298,,,1,,0,,,5thS,
70tSta,,70th St. Trolley Station,,32.77221030,-117.04202532,,,1,,0,,,70tSta,
70tS,,70th Street Station,,32.77224895,-117.04247006,,,1,,0,,,70tS,
8thS,,8th Street Station,,32.67487514,-117.11308814,,,1,,0,,,8thS,
8thtro,,8th Street Transit Center,,32.67500420,-117.11330096,,,1,,0,,,8thtro,
avlS,,UCSD Health East Station,,32.77736594,-117.05683205,,,1,,0,,,avlS,
amaS,,Amaya Drive Station,,32.78542394,-117.00172290,,,1,,0,,,amaS,
apzS,,America Plaza Station,,32.71616941,-117.16898015,,,1,,0,,,apzS,
amptro,,America Plaza Trolley Station,,32.71700220,-117.16835451,,,1,,0,,,amptro,
arnS,,Arnele Avenue Station,,32.80461604,-116.97572699,,,1,,0,,,arnS,
balS,,Balboa Avenue Station,,32.80578303,-117.21405352,,,1,,0,,,balS,
baltro,,Balboa Avenue Transit Center,,32.80570489,-117.21367709,,,1,,0,,,baltro,
barS,,Barrio Logan Station,,32.69802393,-117.14658793,,,1,,0,,,barS,
beyS,,Beyer Blvd Station,,32.55757111,-117.04697410,,,1,,0,,,beyS,
broket,,Broadway & Kettner Bl,,32.71571435,-117.16889380,,,1,,0,,,broket,
ccoS,,City College Station,,32.71630698,-117.15423488,,,1,,0,,,ccoS,
citcol,,City College Trolley Station,,32.71581964,-117.15393922,,,1,,0,,,citcol,
civS,,Civic Center Station,,32.71674108,-117.16246797,,,1,,0,,,civS,
claS,,Clairemont Drive Station,,32.79001930,-117.20614883,,,1,,0,,,claS,
conS,,Convention Center Station,,32.70893214,-117.16345215,,,1,,0,,,conS,
cocS,,County Center/Little Italy Station,,32.72142393,-117.16995087,,,1,,0,,,cocS,
corsta,,Courthouse Station,,32.71664409,-117.16605994,,,1,,0,,,corsta,
estS,,E Street Station,,32.63900589,-117.09908001,,,1,,0,,,estS,
etro,,E Street Transit Center,,32.63877909,-117.09844927,,,1,,0,,,etro,
i15eln,,El Cajon Blvd & I-15,,32.75556656,-117.10867043,,,1,,0,,,i15eln,
i15els,,El Cajon Blvd & I-15,,32.75481277,-117.10888915,,,1,,0,,,i15els,
elcS,,El Cajon Station,,32.79198192,-116.97617996,,,1,,0,,,elcS,
ecajtc,,El Cajon Transit Center,,32.79203225,-116.97570594,,,1,,0,,,ecajtc,
62nS,,Encanto/62nd St Station,,32.71011487,-117.06321004,,,1,,0,,,62nS,
enctro,,Encanto/62nd St Trolley Station,,32.71035850,-117.06365020,,,1,,0,,,enctro,
eucS,,Euclid Ave Station,,32.70954699,-117.08594801,,,1,,0,,,eucS,
euctro,,Euclid Ave Station,,32.71002276,-117.08619050,,,1,,0,,,euctro,
exeS,,Executive Drive Station,,32.87414782,-117.21404501,,,1,,0,,,exeS,
favS,,Fashion Valley Station,,32.76548187,-117.16906290,,,1,,0,,,favS,
fasvtc,,Fashion Valley Transit Center,,32.76561826,-117.16942411,,,1,,0,,,fasvtc,
fenS,,Fenton Parkway Station,,32.77829392,-117.12716187,,,1,,0,,,fenS,
gasS,,Gaslamp Quarter Station,,32.70684448,-117.15968093,,,1,,0,,,gasS,
genljN,,Genesee & La Jolla Village Dr.,,32.87321691,-117.21383157,,,1,,0,,,genljN,
welS,,Gillespie Field Station,,32.82692192,-116.98209886,,,1,,0,,,welS,
frmS,,Grantville Station,,32.78049112,-117.09749294,,,1,,0,,,frmS,
gratro,,Grantville Trolley Station,,32.78031471,-117.09720753,,,1,,0,,,gratro,
groS,,Grossmont Station,,32.78181594,-117.01106192,,,1,,0,,,groS,
grotro,,Grossmont Transit Center,,32.78193376,-117.01112182,,,1,,0,,,grotro,
hstS,,H Street Station,,32.63007394,-117.09558911,,,1,,0,,,hstS,
htro,,H Street Transit Center,,32.62961231,-117.09509066,,,1,,0,,,htro,
harS,,Harborside Station,,32.69126696,-117.13280415,,,1,,0,,,harS,
hazS,,Hazard Center Station,,32.77024996,-117.15830309,,,1,,0,,,hazS,
iritro,,Iris Ave Transit Center East,,32.56985255,-117.06607925,,,1,,0,,,iritro,
iritrW,,Iris Ave Transit Center West,,32.56968604,-117.06723290,,,1,,0,,,iritrW,
iriS,,Iris Avenue Station,,32.56965611,-117.06710507,,,1,,0,,,iriS,
kmtc,,Kearny Mesa Transit Center,,32.83138855,-117.13505585,,,1,,0,,,kmtc,
lamS,,La Mesa Blvd Station,,32.76501905,-117.02055190,,,1,,0,,,lamS,
broS,,Lemon Grove Depot,,32.74338603,-117.03073112,,,1,,0,,,broS,
masS,,Massachusetts Ave Station,,32.72352489,-117.03958489,,,1,,0,,,masS,
midS,,Middletown Station,,32.73360900,-117.17483104,,,1,,0,,,midS,
msdS,,Mission San Diego Station,,32.78092701,-117.11107808,,,1,,0,,,msdS,
