"objectid","stop_uid","stop_id","stop_code","stop_name","stop_lat","stop_lon","stop_agncy","wheelchair","intersec","stop_place","parent_sta","lat","lng"
"1","MTS_11tbro","11tbro","","11th Ave & Broadway","32.71626794","-117.15464934","MTS","0E-8","","","","32.71626317795451","-117.15463744126299"
"2","MTS_12tS","12tS","","12th & Imperial Station","32.70600195","-117.15337790","MTS","0E-8","","","","32.70599718888697","-117.15336600183123"
"3","MTS_imtS","imtS","","12th & Imperial Station Bayside","32.70522905","-117.15431792","MTS","0E-8","","","","32.70522428902026","-117.15430602187158"
"4","MTS_imp12","imp12","","12th & Imperial Transit Center","32.70568488","-117.15287499","MTS","0E-8","","","","32.705680119208836","-117.1528630915413"
"5","MTS_24tS","24tS","","24th Street Station","32.66185407","-117.10801701","MTS","0E-8","","","","32.66184931194776","-117.10800512324099"
"6","MTS_24tro","24tro","","24th Street Transit Center","32.66184386","-117.10798312","MTS","0E-8","","","","32.661839102186924","-117.10797123354232"
"7","MTS_25tS","25tS","","25th & Commercial St Station","32.70530703","-117.14019998","MTS","0E-8","","","","32.70530226819969","-117.1401880836809"
"8","MTS_32nS","32nS","","32nd & Commercial St Station","32.70591999","-117.12456010","MTS","0E-8","","","","32.70591522812012","-117.12454820704764"
"9","MTS_47tS","47tS","","47th Street Station","32.70845410","-117.09491415","MTS","0E-8","","","","32.70844933578472","-117.09490226134866"
"10","MTS_5thS","5thS","","5th Avenue Station","32.71676205","-117.15970298","MTS","0E-8","","","","32.7167572882213","-117.15969108079531"
"11","MTS_70tSta","70tSta","","70th St. Trolley Station","32.77221030","-117.04202532","MTS","0E-8","","","","32.77220552518668","-117.04201343681939"
"12","MTS_70tS","70tS","","70th Street Station","32.77224895","-117.04247006","MTS","0E-8","","","","32.77224417520154","-117.04245817599553"
"13","MTS_8thS","8thS","","8th Street Station","32.67487514","-117.11308814","MTS","0E-8","","","","32.674870380367054","-117.1130762518943"
"14","MTS_8thtro","8thtro","","8th Street Transit Center","32.67500420","-117.11330096","MTS","0E-8","","","","32.67499944051146","-117.11328907081185"
"15","MTS_amaS","amaS","","Amaya Drive Station","32.78542394","-117.00172290","MTS","0E-8","","","","32.78541916216163","-117.00171102186962"
"16","MTS_apzS","apzS","","America Plaza Station","32.71616941","-117.16898015","MTS","0E-8","","","","32.71616464832999","-117.16896824894138"
"17","MTS_amptro","amptro","","America Plaza Trolley Station","32.71700220","-117.16835451","MTS","0E-8","","","","32.71699743904065","-117.16834260869135"
"18","MTS_arnS","arnS","","Arnele Avenue Station","32.80461604","-116.97572699","MTS","0E-8","","","","32.80461125826494","-116.97571511583443"
"19","MTS_balS","balS","","Balboa Avenue Station","32.80578303","-117.21405352","MTS","0E-8","","","","32.805778260830216","-117.21404160525442"
"20","MTS_baltro","baltro","","Balboa Avenue Transit Center","32.80570489","-117.21367709","MTS","0E-8","","","","32.805700120774056","-117.2136651742073"
"21","MTS_barS","barS","","Barrio Logan Station","32.69802393","-117.14658793","MTS","0E-8","","","","32.698019169975645","-117.14657603374351"
"22","MTS_beyS","beyS","","Beyer Blvd Station","32.55757111","-117.04697410","MTS","0E-8","","","","32.55756636126712","-117.04696223122059"
"23","MTS_broket","broket","","Broadway & Kettner Bl","32.71571435","-117.16889380","MTS","0E-8","","","","32.71570958911175","-117.1688818993386"
"24","MTS_ccoS","ccoS","","City College Station","32.71630698","-117.15423488","MTS","0E-8","","","","32.71630221796878","-117.15422298157453"
"25","MTS_citcol","citcol","","City College Trolley Station","32.71581964","-117.15393922","MTS","0E-8","","","","32.71581487789682","-117.15392732188116"
"26","MTS_civS","civS","","Civic Center Station","32.71674108","-117.16246797","MTS","0E-8","","","","32.71673631833196","-117.16245606969855"
"27","MTS_claS","claS","","Clairemont Drive Station","32.79001930","-117.20614883","MTS","0E-8","","","","32.79001453122887","-117.20613691693832"
"28","MTS_conS","conS","","Convention Center Station","32.70893214","-117.16345215","MTS","0E-8","","","","32.708927378816156","-117.16344025036845"
"29","MTS_cocS","cocS","","County Center/Little Italy Station","32.72142393","-117.16995087","MTS","0E-8","","","","32.721419168149176","-117.16993896805258"
"30","MTS_corsta","corsta","","Courthouse Station","32.71664409","-117.16605994","MTS","0E-8","","","","32.71663932847788","-117.16604803844452"
"31","MTS_estS","estS","","E Street Station","32.63900589","-117.09908001","MTS","0E-8","","","","32.63900113427343","-117.0990681263244"
"32","MTS_etro","etro","","E Street Transit Center","32.63877909","-117.09844927","MTS","0E-8","","","","32.63877433458087","-117.09843738624102"
"33","MTS_i15eln","i15eln","","El Cajon Blvd & I-15","32.75556656","-117.10867043","MTS","0E-8","","","","32.755561790367054","-117.10865853581207"
"34","MTS_i15els","i15els","","El Cajon Blvd & I-15","32.75481277","-117.10888915","MTS","0E-8","","","","32.75480800096362","-117.10887725644396"
"35","MTS_elcS","elcS","","El Cajon Station","32.79198192","-116.97617996","MTS","0E-8","","","","32.791977140080355","-116.97616808677255"
"36","MTS_ecajtc","ecajtc","","El Cajon Transit Center","32.79203225","-116.97570594","MTS","0E-8","","","","32.79202746951406","-116.97569406657564"
"37","MTS_62nS","62nS","","Encanto/62nd St Station","32.71011487","-117.06321004","MTS","0E-8","","","","32.710110104112985","-117.06319815663353"
"38","MTS_enctro","enctro","","Encanto/62nd St Trolley Station","32.71035850","-117.06365020","MTS","0E-8","","","","32.710353733870406","-117.06363831659402"
"39","MTS_eucS","eucS","","Euclid Ave Station","32.70954699","-117.08594801","MTS","0E-8","","","","32.709542224984496","-117.08593612328848"
"40","MTS_euctro","euctro","","Euclid Ave Station","32.71002276","-117.08619050","MTS","0E-8","","","","32.7100179950327","-117.08617861415375"
"41","MTS_exeS","exeS","","Executive Drive Station","32.87414782","-117.21404501","MTS","0E-8","","","","32.87414304207548","-117.21403308975546"
"42","MTS_favS","favS","","Fashion Valley Station","32.76548187","-117.16906290","MTS","0E-8","","","","32.76547710209794","-117.16905099496287"
"43","MTS_fasvtc","fasvtc","","Fashion Valley Transit Center","32.76561826","-117.16942411","MTS","0E-8","","","","32.76561349266103","-117.1694122055074"
"44","MTS_fenS","fenS","","Fenton Parkway Station","32.77829392","-117.12716187","MTS","0E-8","","","","32.778289149755665","-117.12714997176049"
"45","MTS_gasS","gasS","","Gaslamp Quarter Station","32.70684448","-117.15968093","MTS","0E-8","","","","32.70683971921863","-117.15966903106532"
